mRNA,methylation,microRNA
TNFRSF11B,SERPINE1,hsa-mir-148a
PRICKLE3,GPX4,hsa-mir-10a
AC074286.1,ABCC3,hsa-mir-155
EMP3,LATS2,hsa-mir-1266
TGIF1,SORBS3,hsa-mir-196b
VAV3,COL7A1,hsa-mir-15b
TIMP1,CHRNA9,hsa-mir-21
RBP1,RNF39,hsa-mir-34a
VASN,FBXL8,hsa-mir-30a
IGFBP2,MAD2L2,hsa-mir-200a
CISH,NINJ1,hsa-mir-200b
EFEMP2,ANXA2,hsa-mir-27a
PLP2,GPRC5A,hsa-mir-504
CEP112,MMP14,hsa-mir-1296
CHI3L1,FAM49A,hsa-mir-335
DCTD,ZAK,hsa-mir-200c
TTC12,KBTBD5,hsa-mir-493
CASP6,SMO,hsa-mir-23a
STEAP3,SEMA6A,hsa-mir-346
RRBP1,CNNM4,hsa-mir-22
MRC2,DARC,hsa-mir-141
C9orf64,SLC26A11,hsa-mir-744
PHYHIPL,SFN,hsa-mir-221
APOBEC3F,EXPH5,hsa-mir-130b
EMILIN1,ADCY9,hsa-mir-326
CD63,LITAF,hsa-mir-653
FSTL1,ELK3,hsa-mir-217
PPIC,NPPB,hsa-mir-503
GSDMD,PTPN9,hsa-mir-25
MAP2K3,SSH3,hsa-mir-222
DNAJC12,STC2,hsa-mir-1249
PDPN,TBC1D8,hsa-mir-10b
FAM20C,CD2AP,hsa-mir-96
TP73-AS1,HRK,hsa-mir-99b
SH2D4A,LIMD1,hsa-mir-183
SLC25A24,CYB561,hsa-mir-182
RPS2P32,BMPR2,hsa-mir-215
LOXL1,GIT1,hsa-mir-874
METTL7B,S100A2,hsa-mir-935
CD101,CTNNA1,hsa-let-7b
PINLYP,IL7,hsa-mir-452
MYL12A,SLPI,hsa-mir-937
FAM114A1,FMOD,hsa-mir-1468
KDELR1,TGM6,hsa-mir-374b
SLC2A10,MT2A,hsa-mir-374a
TAGLN2,AQP4,hsa-mir-301b
FKBP9,ESR2,hsa-mir-616
CD58,RASGRP2,hsa-mir-31
IFITM10,SCRN1,hsa-let-7e
CLIC1,YAP1,hsa-mir-106a
